,start_hour,origin_nta,destination_nta,travel_counts,duration_minutes,arrival_rate
427,6,Others,MN04,150,32.9,0.03
428,6,Others,MN06,277,34.73285198555957,0.029
429,6,Others,MN09,778,37.562982005141386,0.027
430,6,Others,MN11,223,33.60986547085202,0.03
431,6,Others,MN12,350,37.83714285714286,0.026
432,6,Others,MN13,1198,41.169449081803,0.024
433,6,Others,MN14,372,34.17204301075269,0.029
434,6,Others,MN15,184,39.641304347826086,0.025
435,6,Others,MN17,3034,42.53526697429137,0.024
436,6,Others,MN19,815,43.596319018404905,0.023
437,6,Others,MN20,704,42.06818181818182,0.024
438,6,Others,MN21,375,41.57333333333333,0.024
439,6,Others,MN22,91,39.07692307692308,0.026
440,6,Others,MN23,760,42.35263157894737,0.024
441,6,Others,MN24,1202,43.86605657237937,0.023
442,6,Others,MN25,1639,42.85417937766931,0.023
443,6,Others,MN27,260,37.003846153846155,0.027
444,6,Others,MN28,320,39.0875,0.026
445,6,Others,MN31,678,40.00294985250738,0.025
446,6,Others,MN32,213,39.159624413145536,0.026
447,6,Others,MN33,609,41.86535303776683,0.024
448,6,Others,MN34,439,34.405466970387245,0.029
449,6,Others,MN35,464,25.96551724137931,0.039
450,6,Others,MN36,583,33.51457975986278,0.03
451,6,Others,MN40,896,39.07924107142857,0.026
452,6,Others,MN50,51,47.31372549019608,0.021
453,6,Others,MN99,189,36.904761904761905,0.027
454,6,Others,Others,1838,41.28726877040261,0.024
455,7,MN01,MN11,11,11.181818181818182,0.089
456,7,MN01,MN17,13,27.0,0.037
457,7,MN01,MN27,5,30.8,0.032
458,7,MN01,MN31,5,22.2,0.045
459,7,MN01,MN33,9,19.555555555555557,0.051
460,7,MN01,MN34,9,15.11111111111111,0.066
461,7,MN01,MN36,7,7.714285714285714,0.13
462,7,MN01,MN40,7,24.142857142857142,0.041
463,7,MN01,Others,323,21.671826625387,0.046
464,7,MN03,MN04,9,6.111111111111111,0.164
465,7,MN03,MN06,19,6.842105263157895,0.146
466,7,MN03,MN09,18,8.333333333333334,0.12
467,7,MN03,MN11,22,6.045454545454546,0.165
468,7,MN03,MN12,11,14.818181818181818,0.067
469,7,MN03,MN13,16,24.0,0.042
470,7,MN03,MN14,5,17.4,0.057
471,7,MN03,MN17,10,23.3,0.043
472,7,MN03,MN19,8,17.625,0.057
473,7,MN03,MN20,6,16.833333333333332,0.059
474,7,MN03,MN21,7,21.0,0.048
475,7,MN03,MN24,10,27.4,0.036
476,7,MN03,MN33,11,12.090909090909092,0.083
477,7,MN03,MN34,9,10.777777777777779,0.093
478,7,MN03,MN36,9,7.666666666666667,0.13
479,7,MN03,MN40,5,13.4,0.075
480,7,MN03,Others,344,27.468023255813954,0.036
481,7,MN04,MN03,10,6.3,0.159
482,7,MN04,MN09,8,6.75,0.148
483,7,MN04,MN12,14,14.5,0.069
484,7,MN04,MN17,7,19.571428571428573,0.051
485,7,MN04,MN22,5,26.0,0.038
486,7,MN04,MN25,5,24.0,0.042
487,7,MN04,MN40,9,16.22222222222222,0.062
488,7,MN04,Others,144,29.381944444444443,0.034
489,7,MN06,MN17,9,17.666666666666668,0.057
490,7,MN06,Others,54,32.129629629629626,0.031
491,7,MN09,MN03,7,8.285714285714286,0.121
492,7,MN09,MN06,12,6.583333333333333,0.152
493,7,MN09,MN12,26,10.76923076923077,0.093
494,7,MN09,MN17,15,14.2,0.07
495,7,MN09,MN19,12,14.0,0.071
496,7,MN09,MN25,12,24.25,0.041
497,7,MN09,MN33,5,10.2,0.098
498,7,MN09,MN35,8,10.375,0.096
499,7,MN09,MN36,5,11.6,0.086
500,7,MN09,Others,136,34.294117647058826,0.029
501,7,MN11,MN03,10,6.2,0.161
502,7,MN11,MN04,6,9.833333333333334,0.102
503,7,MN11,MN06,11,6.363636363636363,0.157
504,7,MN11,MN09,21,6.380952380952381,0.157
505,7,MN11,MN12,12,8.833333333333334,0.113
506,7,MN11,MN13,7,22.285714285714285,0.045
507,7,MN11,MN14,5,12.6,0.079
508,7,MN11,MN17,12,11.083333333333334,0.09
509,7,MN11,MN20,6,15.333333333333334,0.065
510,7,MN11,MN23,5,23.0,0.043
511,7,MN11,MN24,22,22.90909090909091,0.044
512,7,MN11,MN31,11,14.545454545454545,0.069
513,7,MN11,MN33,13,8.615384615384615,0.116
514,7,MN11,MN34,12,8.25,0.121
515,7,MN11,MN40,10,17.7,0.056
516,7,MN11,Others,125,33.248,0.03
517,7,MN12,MN03,10,13.5,0.074
518,7,MN12,MN09,35,7.257142857142857,0.138
519,7,MN12,MN11,9,10.11111111111111,0.099
520,7,MN12,MN12,79,6.506329113924051,0.154
521,7,MN12,MN13,6,17.666666666666668,0.057
522,7,MN12,MN14,19,8.31578947368421,0.12
523,7,MN12,MN17,64,13.015625,0.077
524,7,MN12,MN19,17,11.882352941176471,0.084
525,7,MN12,MN20,11,12.636363636363637,0.079
526,7,MN12,MN23,12,18.333333333333332,0.055
527,7,MN12,MN24,8,18.625,0.054
528,7,MN12,MN25,13,19.53846153846154,0.051
529,7,MN12,MN31,9,15.222222222222221,0.066
530,7,MN12,MN32,6,15.5,0.065
531,7,MN12,MN33,14,10.928571428571429,0.092
532,7,MN12,MN34,6,16.833333333333332,0.059
533,7,MN12,MN40,32,12.5625,0.08
534,7,MN12,Others,260,36.99230769230769,0.027
535,7,MN13,MN13,93,7.559139784946237,0.132
536,7,MN13,MN14,6,7.333333333333333,0.136
537,7,MN13,MN15,6,6.166666666666667,0.162
538,7,MN13,MN17,67,10.0,0.1
539,7,MN13,MN19,11,14.818181818181818,0.067
540,7,MN13,MN20,11,11.636363636363637,0.086
541,7,MN13,MN23,30,8.4,0.119
542,7,MN13,MN24,19,14.68421052631579,0.068
543,7,MN13,MN25,16,15.125,0.066
544,7,MN13,Others,185,36.13513513513514,0.028
545,7,MN14,MN17,28,9.928571428571429,0.101
546,7,MN14,MN19,12,8.75,0.114
547,7,MN14,MN20,8,15.625,0.064
548,7,MN14,MN40,9,12.0,0.083
549,7,MN14,Others,117,35.7008547008547,0.028
550,7,MN15,MN14,6,6.166666666666667,0.162
551,7,MN15,MN15,9,6.111111111111111,0.164
552,7,MN15,MN17,30,6.766666666666667,0.148
553,7,MN15,MN19,6,9.666666666666666,0.103
554,7,MN15,MN23,5,24.8,0.04
555,7,MN15,Others,80,34.875,0.029
556,7,MN17,MN12,5,9.8,0.102
557,7,MN17,MN13,15,8.666666666666666,0.115
558,7,MN17,MN17,77,7.415584415584416,0.135
559,7,MN17,MN19,16,7.75,0.129
560,7,MN17,MN20,7,7.571428571428571,0.132
561,7,MN17,MN23,15,10.933333333333334,0.091
562,7,MN17,MN25,12,14.583333333333334,0.069
563,7,MN17,MN40,10,8.5,0.118
564,7,MN17,Others,396,35.207070707070706,0.028
565,7,MN19,MN12,9,17.22222222222222,0.058
566,7,MN19,MN13,24,10.25,0.098
567,7,MN19,MN14,5,12.6,0.079
568,7,MN19,MN17,90,8.477777777777778,0.118
569,7,MN19,MN20,14,7.5,0.133
570,7,MN19,MN21,8,7.5,0.133
571,7,MN19,MN23,6,15.5,0.065
572,7,MN19,MN24,23,16.652173913043477,0.06
